class,pc1,pc2
Not,-12.26228362,-5.03108117
Germinated,-31.49383477,-0.781196979
Germinated,-21.96695853,-9.838218333
Not,-12.61149797,0.826856925
Germinated,-51.77939387,-9.791963336
Not,-23.00456092,-5.525774074
Not,-25.24806437,3.560501573
Not,-23.86814876,10.07346234
Not,-21.24545596,14.15822562
Not,-19.21640373,12.6292541
Not,-16.51493563,8.542154472
Not,-15.63670051,9.228001352
Not,-18.16500592,10.69394971
Germinated,-19.74535404,12.08896659
Not,-27.98029748,-2.49701128
Not,-23.77394377,8.849390634
Germinated,-23.42705428,14.33906511
Not,-18.56188919,12.01339479
Not,-16.16114592,8.739758565
Germinated,-18.00802903,11.35313074
Not,-17.92633987,10.68950031
Not,-16.79699764,7.521051976
Not,-32.96757693,-2.661508364
Not,-25.88456277,9.591806927
Germinated,-19.51697839,10.36719079
Germinated,-19.81730598,11.65526576
Not,-20.36001079,12.13285491
Germinated,-17.44082372,9.36843899
Not,-21.74496524,16.32608402
Not,-19.7282235,10.29910858
Not,-32.38602137,-3.011784687
Germinated,-26.61412962,7.449661848
Germinated,-18.9070179,9.24194188
Not,-19.50646976,8.388539613
Germinated,-16.55890398,7.830870408
Not,-16.88451746,10.26565837
Not,-16.81456889,5.543956452
Not,-17.58809885,6.574466675
Not,-28.80120782,-6.035082281
Not,-25.92486418,11.90434693
Germinated,-19.36801605,9.393039158
Not,-20.37194996,16.04160114
Not,-16.08804158,8.306113684
Not,-17.97072774,12.88769358
Not,-16.78698277,5.126394806
Not,-18.49327644,10.28715286
Not,-30.63429584,0.048002692
Not,-23.17958295,6.466462659
Not,-17.69961926,7.594088612
Not,-18.21035167,11.92490517
Not,-14.61174614,6.821030432
Not,-15.62775044,7.251314024
Not,-15.36054101,5.172805512
Not,-20.29374142,12.59604953
Not,-25.06895263,-1.576701502
Not,-21.64030952,10.40820275
Not,-20.58196715,13.15097632
Not,-18.84315438,15.19620395
Not,-13.65932101,6.410245158
Not,-12.72171244,8.03997484
Not,-14.28626071,4.725937552
Not,-20.76405041,14.46166275
Not,-20.37966695,-1.911671496
Not,-25.29355827,17.38161929
Germinated,-16.20442551,11.52570516
Not,-12.4525548,1.186384788
Germinated,-19.96196359,11.80964024
Not,-14.22971749,7.415616141
Not,-14.97537057,7.279750561
Not,-16.21220834,10.5351726
Germinated,-21.99947826,2.424375177
Germinated,-20.68319606,7.515170229
Not,-17.24631251,9.540406319
Germinated,-16.03782905,8.156598218
Not,-14.23442979,6.483559101
Not,-12.24180323,5.161763683
Not,-14.28044917,3.403085498
Germinated,-14.78629659,2.895631816
Not,-22.3154404,-3.551285539
Not,-21.51932395,6.311702567
Germinated,-20.77100664,10.46912818
Germinated,-16.70481942,10.26902813
Not,-14.93484959,7.468073923
Germinated,-16.78015207,8.081474713
Germinated,-15.28732339,6.88918108
Not,-15.21703913,6.458946153
Not,-28.66786268,-1.023113364
Not,-20.28315109,2.882290398
Germinated,-18.64992802,8.697875284
Germinated,-19.98368028,8.008862891
Not,-18.46804273,11.3024581
Germinated,-16.01452453,5.709917298
Germinated,-20.52435049,15.35573358
Not,-18.41434946,8.445627557
Germinated,-30.5024955,-6.717324518
Germinated,-33.11011616,7.015274244
Germinated,-19.957451,8.89186082
Not,-19.06896261,7.603706243
Germinated,-17.89725624,7.884305717
Not,-16.19928799,10.30530229
Germinated,-17.56126296,4.832069883
Not,-18.85858059,5.970805672
Not,-31.04119371,-10.30534809
Not,-28.38857601,8.097706767
Germinated,-17.96992506,4.573736346
Germinated,-21.04522648,14.57184038
Not,-16.44706339,9.072319745
Not,-19.15962476,13.84142702
Not,-17.72387161,5.809345258
Not,-20.99949897,8.274185883
Not,-34.76451775,-6.363907183
Not,-24.86946672,5.757031679
Not,-19.42715279,6.669820359
Germinated,-18.61093666,9.294137713
Not,-16.03335577,8.342114216
Not,-16.68165345,8.912566937
Not,-17.24199241,5.152001888
Germinated,-22.70870156,11.05990408
Not,-30.62402719,-6.898931728
